"DateTime","TotalActive","Kitchen","Laundry","HVAC","Others"
2006-12-16 17:00:00,2533.73333333333,0,19,607,1907.73333333333
2006-12-16 18:00:00,3632.2,0,403,1012,2217.2
2006-12-16 19:00:00,3400.23333333333,0,86,1001,2313.23333333333
2006-12-16 20:00:00,3268.56666666667,0,0,1007,2261.56666666667
2006-12-16 21:00:00,3056.46666666667,0,25,1033,1998.46666666667
2006-12-16 22:00:00,2200.13333333333,0,8,266,1926.13333333333
2006-12-16 23:00:00,2061.6,0,5,0,2056.6
2006-12-17 00:00:00,1882.46666666667,0,28,0,1854.46666666667
2006-12-17 01:00:00,3349.4,0,1514,0,1835.4
2006-12-17 02:00:00,1587.26666666667,0,34,0,1553.26666666667
2006-12-17 03:00:00,1662.2,0,46,0,1616.2
2006-12-17 04:00:00,2215.76666666667,0,34,533,1648.76666666667
2006-12-17 05:00:00,1996.73333333333,0,10,279,1707.73333333333
2006-12-17 06:00:00,1303.3,0,43,0,1260.3
2006-12-17 07:00:00,1620.03333333333,0,10,0,1610.03333333333
2006-12-17 08:00:00,1890.56666666667,0,45,0,1845.56666666667
2006-12-17 09:00:00,2549.06666666667,0,439,0,2110.06666666667
2006-12-17 10:00:00,3628.9,533,1341,969,785.9
2006-12-17 11:00:00,2471,567,301,1031,572
2006-12-17 12:00:00,1915.86666666667,0,32,1039,844.866666666667
2006-12-17 13:00:00,1660.76666666667,0,3,1057,600.766666666667
2006-12-17 14:00:00,2092.63333333333,0,20,1094,978.633333333333
2006-12-17 15:00:00,2985.4,418,12,1062,1493.4
2006-12-17 16:00:00,3326.03333333333,515,4,1030,1777.03333333333
2006-12-17 17:00:00,3406.76666666667,0,28,1009,2369.76666666667
2006-12-17 18:00:00,3697.1,0,0,1010,2687.1
2006-12-17 19:00:00,2908.4,0,31,1001,1876.4
2006-12-17 20:00:00,3361.5,0,67,1027,2267.5
2006-12-17 21:00:00,3040.76666666667,0,72,1050,1918.76666666667
2006-12-17 22:00:00,1518,0,25,150,1343
2006-12-17 23:00:00,437.733333333333,0,48,0,389.733333333333
2006-12-18 00:00:00,276.366666666667,0,2,0,274.366666666667
2006-12-18 01:00:00,313.3,0,35,0,278.3
2006-12-18 02:00:00,284.466666666667,0,0,0,284.466666666667
2006-12-18 03:00:00,309.933333333333,0,34,0,275.933333333333
2006-12-18 04:00:00,1026.33333333333,0,4,753,269.333333333333
2006-12-18 05:00:00,293.5,0,28,0,265.5
2006-12-18 06:00:00,610,0,5,0,605
2006-12-18 07:00:00,2450.43333333333,5,27,678,1740.43333333333
2006-12-18 08:00:00,2082.13333333333,748,2,1041,291.133333333333
2006-12-18 09:00:00,1629.33333333333,310,29,1036,254.333333333333
2006-12-18 10:00:00,1309.63333333333,0,0,1050,259.633333333333
2006-12-18 11:00:00,1561.93333333333,0,31,1056,474.933333333333
2006-12-18 12:00:00,1756.06666666667,0,0,1081,675.066666666667
2006-12-18 13:00:00,1682.06666666667,0,32,1042,608.066666666667
2006-12-18 14:00:00,1733.03333333333,0,0,1043,690.033333333333
2006-12-18 15:00:00,1784.3,0,31,1079,674.3
2006-12-18 16:00:00,1949.3,0,0,1079,870.3
2006-12-18 17:00:00,2154.9,0,20,1047,1087.9
2006-12-18 18:00:00,2402.53333333333,0,15,1015,1372.53333333333
2006-12-18 19:00:00,2614.5,0,546,0,2068.5
2006-12-18 20:00:00,3050.56666666667,0,30,795,2225.56666666667
2006-12-18 21:00:00,2169.73333333333,0,0,223,1946.73333333333
2006-12-18 22:00:00,1738.8,0,531,0,1207.8
2006-12-18 23:00:00,1547.26666666667,0,1219,0,328.266666666667
2006-12-19 00:00:00,837.133333333333,0,58,489,290.133333333333
2006-12-19 01:00:00,353.033333333333,0,15,44,294.033333333333
2006-12-19 02:00:00,327.233333333333,0,38,0,289.233333333333
2006-12-19 03:00:00,308.3,0,10,0,298.3
2006-12-19 04:00:00,327.833333333333,0,43,0,284.833333333333
2006-12-19 05:00:00,306.666666666667,0,10,0,296.666666666667
2006-12-19 06:00:00,796.333333333333,0,41,0,755.333333333333
